trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.1620910000056,258.6680527999997,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.1618634000188,260.66808530001435,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.1616775000002,262.6679729000025,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.1614778000221,264.6670327000029,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.16127609999967,266.6675824999984,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.161190600018,268.6671424000233,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.16086250002263,270.6677237999975,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.1606967000116,272.6666397000081,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1605029000202,274.66687139999704,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.1603195000207,276.6665506999998,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.1601026999997,278.66630240000086,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.15985700002057,280.666704400006,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.15975510000135,282.6653351999994,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.1594663000142,284.665333300014,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.159240900015,286.6648423000006,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.15903950002394,288.6653070000175,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.1588303000026,290.66456170001766,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.1647751000128,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.1645072000101,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.1642335000215,296.673366300005,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.16407369999797,298.6699196000118,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
