trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
34,0,34,0,,,,,57.34433410002384,57.34433410002384,57.34433410002384,57.34433410002384,57.34433410002384,57.34433410002384,57.34433410002384,57.34433410002384,57.34433410002384,57.34433410002384,space,0.028280399972572923,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
35,0,35,0,,,,,57.49477119999938,57.49477119999938,57.49477119999938,57.49477119999938,57.49477119999938,57.49477119999938,57.49477119999938,57.49477119999938,57.49477119999938,57.49477119999938,space,0.02885900007095188,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
36,0,36,0,,,,,57.65258090000134,57.65258090000134,57.65258090000134,57.65258090000134,57.65258090000134,57.65258090000134,57.65258090000134,57.65258090000134,57.65258090000134,57.65258090000134,space,0.028268699999898672,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
37,0,37,0,,,,,57.81560219998937,57.81560219998937,57.81560219998937,57.81560219998937,57.81560219998937,57.81560219998937,57.81560219998937,57.81560219998937,57.81560219998937,57.81560219998937,space,0.018279100069776177,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
38,0,38,0,,,,,57.95507050002925,57.95507050002925,57.95507050002925,57.95507050002925,57.95507050002925,57.95507050002925,57.95507050002925,57.95507050002925,57.95507050002925,57.95507050002925,space,0.03888810006901622,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
39,0,39,0,,,,,58.130814100033604,58.130814100033604,58.130814100033604,58.130814100033604,58.130814100033604,58.130814100033604,58.130814100033604,58.130814100033604,58.130814100033604,58.130814100033604,space,0.027165599982254207,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
40,0,40,0,,,,,58.28821450006217,58.28821450006217,58.28821450006217,58.28821450006217,58.28821450006217,58.28821450006217,58.28821450006217,58.28821450006217,58.28821450006217,58.28821450006217,space,0.04010719992220402,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
41,0,41,0,,,,,58.45854550006334,58.45854550006334,58.45854550006334,58.45854550006334,58.45854550006334,58.45854550006334,58.45854550006334,58.45854550006334,58.45854550006334,58.45854550006334,space,0.03591569990385324,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
42,0,42,0,,,,,58.633396000019275,58.633396000019275,58.633396000019275,58.633396000019275,58.633396000019275,58.633396000019275,58.633396000019275,58.633396000019275,58.633396000019275,58.633396000019275,space,0.042050500051118433,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
43,0,43,0,,,,,58.80462820001412,58.80462820001412,58.80462820001412,58.80462820001412,58.80462820001412,58.80462820001412,58.80462820001412,58.80462820001412,58.80462820001412,58.80462820001412,space,0.03992780006956309,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
