trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,participant,session,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,86.76655399997253,88.27399779995903,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,88.76635190000525,90.2730784000014,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.76614799996605,92.27383699995698,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7659633999574,94.27512189996196,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,94.765791599988,96.27500520000467,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.77151699998649,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,98.77139919996262,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.77113409998128,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,102.77092149999226,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.77071349998005,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
