trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.48310070001753,46.98594420001609,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.48561750000226,48.991081700020004,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,49.48797850002302,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.48431430000346,52.98996080001234,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.487363700027345,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.48559440000099,56.98947040000348,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,57.48424310001428,58.990667600010056,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,59.483488800004125,60.987351800024044,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.488391200022306,62.993260300019756,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,63.48407970002154,64.98675200002617,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4864531000203,66.99143500000355,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4841556000174,68.993280100025,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,69.48421920000692,70.98610230002669,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,71.48348320001969,72.99017500001355,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,73.48308380000526,74.98936070001218,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.48384600001737,76.99354800002766,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.48790570002166,78.99233390000882,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,79.48634040000616,80.98976520000724,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4852076000243,82.98961560000316,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,83.48718020002707,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,85.48529030001373,86.99262670002645,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,87.48942020002869,88.99333530000877,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.48966200000723,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,91.48340570001164,92.9921068000258,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,93.48742290001246,94.9910248000233,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,95.48330670001451,96.98856100000557,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,97.48593880000408,98.99192290002247,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.48429620001116,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4834855000081,102.98803930002032,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,103.48597120001796,104.99126310000429,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.48247330001323,106.9881185000122,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4844547000248,108.98924150000676,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.48334830001113,110.98722270000144,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,111.48844000001554,112.99280130001716,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,113.48386560002109,114.98869120000745,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,115.48284510002122,116.99296010000398,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,117.48388480002177,118.99624240002595,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,119.48642450000625,120.99064090001048,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.48386590002337,122.9933981000213,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.48458620000747,,,,,,,,
