trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
23,0,23,0,,,,,18.222570799989626,18.222570799989626,space,0.144423000048846,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
24,0,24,0,,,,,18.391850500018336,18.391850500018336,space,0.15620209998451173,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
25,0,25,0,,,,,18.579956399975345,18.579956399975345,space,0.14216609997674823,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
26,0,26,0,,,,,18.7450564999599,18.7450564999599,space,0.15323120006360114,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
27,0,27,0,,,,,18.9253792000236,18.9253792000236,space,0.11386339995078743,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
28,0,28,0,,,,,19.06497499998659,19.06497499998659,space,0.13586380006745458,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
29,0,29,0,,,,,19.229068099986762,19.229068099986762,space,0.15006929996889085,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
30,0,30,0,,,,,19.405674100038595,19.405674100038595,space,0.12455469998531044,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
31,0,31,0,,,,,19.55582420004066,19.55582420004066,space,0.1291201999410987,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
32,0,32,0,,,,,19.71330930001568,19.71330930001568,space,0.10767079994548112,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
33,0,33,0,,,,,19.852884100051597,19.852884100051597,space,0.24130190000869334,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
34,0,34,0,,,,,20.11890899995342,20.11890899995342,space,0.13466000009793788,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
35,0,35,0,,,,,20.28277990000788,20.28277990000788,space,0.09772540000267327,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
36,0,36,0,,,,,20.416716399951838,20.416716399951838,space,0.10093469999264926,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
37,0,37,0,,,,,20.543494899990037,20.543494899990037,space,0.1436033999780193,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
38,0,38,0,,,,,20.712258800049312,20.712258800049312,space,0.1788597000995651,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
39,0,39,0,,,,,20.919232200016268,20.919232200016268,space,0.11146659997757524,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
40,0,40,0,,,,,21.058845499996096,21.058845499996096,space,0.13436499994713813,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
41,0,41,0,,,,,21.228832600056194,21.228832600056194,space,0.10899909993167967,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
42,0,42,0,,,,,21.360570200020447,21.360570200020447,space,0.13319299998693168,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
43,0,43,0,,,,,21.52612389996648,21.52612389996648,space,0.1106593000004068,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
44,0,44,0,,,,,21.670315299998038,21.670315299998038,space,0.1206872999900952,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
45,0,45,0,,,,,21.822298099985346,21.822298099985346,space,0.13359640003181994,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
46,0,46,0,,,,,21.99201729998458,21.99201729998458,space,0.22120279993396252,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
47,0,47,0,,,,,22.24020020000171,22.24020020000171,space,0.1798051999649033,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
48,0,48,0,,,,,22.446496300050057,22.446496300050057,space,0.1345390999922529,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
49,0,49,0,,,,,22.609692899975926,22.609692899975926,space,0.14410939998924732,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
