trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_6.started,a_card.started,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,95.47785170000861,95.97834699999657,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97478849999607,97.48098550000577,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4778312999988,98.98290240002098,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.97974360000808,100.48082910000812,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4779296000197,101.98308580002049,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,102.98005420001573,103.4803112000227,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.47798270001658,104.98203020001529,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.97915970001486,106.47972060000757,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,107.47696280002128,107.98242380001466,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.97887400002219,109.47939110000152,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
