trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,card_shown.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
50,0,50,0,,,,,,,,,,,,,,,,,,,116.32806329999585,116.82900530000916,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
51,0,51,0,,,,,,,,,,,,,,,,,,,117.82441810000455,118.33118269999977,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
52,0,52,0,,,,,,,,,,,,,,,,,,,119.32595399999991,119.82773680001264,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
53,0,53,0,,,,,,,,,,,,,,,,,,,120.82840310002211,121.32806050003273,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
54,0,54,0,,,,,,,,,,,,,,,,,,,122.32886040001176,122.83007610001368,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
55,0,55,0,,,,,,,,,,,,,,,,,,,123.8248410000233,124.33184679999249,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
56,0,56,0,,,,,,,,,,,,,,,,,,,125.3270142999827,125.82894909998868,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
57,0,57,0,,,,,,,,,,,,,,,,,,,126.82380750001175,127.33350260002771,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
58,0,58,0,,,,,,,,,,,,,,,,,,,128.32987780001713,128.8279182999977,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
59,0,59,0,,,,,,,,,,,,,,,,,,,129.82969480002066,130.33059000002686,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
60,0,60,0,,,,,,,,,,,,,,,,,,,131.32574070000555,131.8378306000377,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
61,0,61,0,,,,,,,,,,,,,,,,,,,132.82606570003554,133.3272900999873,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
62,0,62,0,,,,,,,,,,,,,,,,,,,134.32890389999375,134.83032720000483,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
63,0,63,0,,,,,,,,,,,,,,,,,,,135.82530170003884,136.32776140002534,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
64,0,64,0,,,,,,,,,,,,,,,,,,,137.3284744999837,137.82881310000084,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
65,0,65,0,,,,,,,,,,,,,,,,,,,138.8237982999999,139.33326430001762,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
66,0,66,0,,,,,,,,,,,,,,,,,,,140.32840900000883,140.82997269998305,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
67,0,67,0,,,,,,,,,,,,,,,,,,,141.82436319999397,142.33220529998653,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
68,0,68,0,,,,,,,,,,,,,,,,,,,143.3268805000116,143.82848760002526,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
69,0,69,0,,,,,,,,,,,,,,,,,,,144.82585369999288,145.33311330003198,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
70,0,70,0,,,,,,,,,,,,,,,,,,,146.3278844000306,146.82974429999013,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
71,0,71,0,,,,,,,,,,,,,,,,,,,147.8242489999975,148.33194810000714,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
72,0,72,0,,,,,,,,,,,,,,,,,,,149.32662170002004,149.82675539999036,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
73,0,73,0,,,,,,,,,,,,,,,,,,,150.82736300001852,151.3302354000043,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
74,0,74,0,,,,,,,,,,,,,,,,,,,152.32560179999564,152.82818290003343,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
75,0,75,0,,,,,,,,,,,,,,,,,,,153.823213900032,154.33321200002683,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
76,0,76,0,,,,,,,,,,,,,,,,,,,155.32797590002883,155.8319733000244,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
77,0,77,0,,,,,,,,,,,,,,,,,,,156.82676500000525,157.3289958999958,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
78,0,78,0,,,,,,,,,,,,,,,,,,,158.32379930000752,158.83165770000778,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
79,0,79,0,,,,,,,,,,,,,,,,,,,159.82631119998405,160.32574619998923,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
80,0,80,0,,,,,,,,,,,,,,,,,,,161.32649850001326,161.8303759000264,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
81,0,81,0,,,,,,,,,,,,,,,,,,,162.82528140000068,163.3290788999875,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
82,0,82,0,,,,,,,,,,,,,,,,,,,164.32390140002826,164.83326789998682,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
83,0,83,0,,,,,,,,,,,,,,,,,,,165.82156910002232,166.3303376000258,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
84,0,84,0,,,,,,,,,,,,,,,,,,,167.3250868000323,167.82805569999618,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
85,0,85,0,,,,,,,,,,,,,,,,,,,168.8231237999862,169.33058910002,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
86,0,86,0,,,,,,,,,,,,,,,,,,,170.32559790002415,170.8279995000339,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
87,0,87,0,,,,,,,,,,,,,,,,,,,171.82287919998635,172.32621289999224,172.32621289999224,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
88,0,88,0,,,,,,,,,,,,,,,,,,,173.32693189999554,173.82665060000727,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
89,0,89,0,,,,,,,,,,,,,,,,,,,174.82752799999435,175.3292973000207,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
90,0,90,0,,,,,,,,,,,,,,,,,,,176.32370559999254,176.833507000003,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
91,0,91,0,,,,,,,,,,,,,,,,,,,177.82258989999536,178.32941700000083,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
92,0,92,0,,,,,,,,,,,,,,,,,,,179.3242704999866,179.83113930001855,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
93,0,93,0,,,,,,,,,,,,,,,,,,,180.8258851999999,181.3303198000067,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
94,0,94,0,,,,,,,,,,,,,,,,,,,182.3251088000252,182.8320429000305,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
95,0,95,0,,,,,,,,,,,,,,,,,,,183.82773319998523,184.3296765999985,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
96,0,96,0,,,,,,,,,,,,,,,,,,,185.32436840003356,185.83107830001973,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
97,0,97,0,,,,,,,,,,,,,,,,,,,186.82594429998426,187.32866090000607,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
98,0,98,0,,,,,,,,,,,,,,,,,,,188.32843709998997,188.82969630003208,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
99,0,99,0,,,,,,,,,,,,,,,,,,,189.82409990002634,190.33280159998685,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
