trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,image_10.started,image_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
17,0,17,0,,,,,,,,,,,,,,,,,54.85469429998193,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
18,0,18,0,,,,,,,,,,,,,,,,,56.454549000016414,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
19,0,19,0,,,,,,,,,,,,,,,,,58.054326500045136,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
20,0,20,0,,,,,,,,,,,,,,,,,59.65416939998977,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
21,0,21,0,,,,,,,,,,,,,,,,,61.25405630003661,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
22,0,22,0,,,,,,,,,,,,,,,,,62.85380140005145,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
23,0,23,0,,,,,,,,,,,,,,,,,64.4536400999641,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
24,0,24,0,,,,,,,,,,,,,,,,,66.05344519997016,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
25,0,25,0,,,,,,,,,,,,,,,,,67.6533849000698,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
26,0,26,0,,,,,,,,,,,,,,,,,69.2530565999914,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
27,0,27,0,,,,,,,,,,,,,,,,,70.85287619999144,72.16208290006034,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
28,0,28,0,,,,,,,,,,,,,,,,,72.45270959998015,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
29,0,29,0,,,,,,,,,,,,,,,,,74.05254539998714,75.3618981000036,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
30,0,30,0,,,,,,,,,,,,,,,,,75.6523554000305,76.96156990004238,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
31,0,31,0,,,,,,,,,,,,,,,,,77.25216679996811,78.56162930000573,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
32,0,32,0,,,,,,,,,,,,,,,,,78.85198599996511,80.16131130000576,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
33,0,33,0,,,,,,,,,,,,,,,,,80.4520235999953,81.76098030002322,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
34,0,34,0,,,,,,,,,,,,,,,,,82.0515859000152,83.36080090003088,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
35,0,35,0,,,,,,,,,,,,,,,,,83.65142250002827,84.96090219996404,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
36,0,36,0,,,,,,,,,,,,,,,,,85.25130880007055,86.5609848999884,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
37,0,37,0,,,,,,,,,,,,,,,,,86.85107340000104,88.16066679998767,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
38,0,38,0,,,,,,,,,,,,,,,,,88.45081660000142,89.76000999996904,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
39,0,39,0,,,,,,,,,,,,,,,,,90.05072369996924,91.36062950000633,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
40,0,40,0,,,,,,,,,,,,,,,,,91.65051629999653,92.9598431000486,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
41,0,41,0,,,,,,,,,,,,,,,,,93.25043010001536,94.55945309996605,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
42,0,42,0,,,,,,,,,,,,,,,,,94.85017630003858,96.15928290004376,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
43,0,43,0,,,,,,,,,,,,,,,,,96.4499436999904,97.75908490002621,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
44,0,44,0,,,,,,,,,,,,,,,,,98.049739100039,99.35919400001876,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
45,0,45,0,,,,,,,,,,,,,,,,,99.64964710001368,100.9648791999789,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
46,0,46,0,,,,,,,,,,,,,,,,,101.24950679996982,102.55856280005537,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
47,0,47,0,,,,,,,,,,,,,,,,,102.84919840004295,104.15841519995593,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
48,0,48,0,,,,,,,,,,,,,,,,,104.44904350000434,105.75831619999371,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
49,0,49,0,,,,,,,,,,,,,,,,,106.04886780004017,107.35173800005578,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
