trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
60,0,60,0,,,,,,,,,,,,,,,,,,,133.0243318000139,134.33005190000404,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
61,0,61,0,,,,,,,,,,,,,,,,,,,134.62465920000977,135.9294799000054,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
62,0,62,0,,,,,,,,,,,,,,,,,,,136.2261498000007,137.53097040001012,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
63,0,63,0,,,,,,,,,,,,,,,,,,,137.82306350000727,139.1298158000136,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
64,0,64,0,,,,,,,,,,,,,,,,,,,139.4231534999999,140.72883860000002,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
65,0,65,0,,,,,,,,,,,,,,,,,,,141.0230098000029,142.3292111000046,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
66,0,66,0,,,,,,,,,,,,,,,,,,,142.62282610000693,143.9295764000126,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
67,0,67,0,,,,,,,,,,,,,,,,,,,144.22271510001156,145.5304676000087,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
68,0,68,0,,,,,,,,,,,,,,,,,,,145.82244890001311,147.1324758000119,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
69,0,69,0,,,,,,,,,,,,,,,,,,,147.422237900013,148.7290791000123,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
70,0,70,0,,,,,,,,,,,,,,,,,,,149.02212750000763,150.3290810000035,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
71,0,71,0,,,,,,,,,,,,,,,,,,,150.6220433000126,151.92834320000838,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
72,0,72,0,,,,,,,,,,,,,,,,,,,152.22183550000773,153.52868390000367,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
73,0,73,0,,,,,,,,,,,,,,,,,,,153.82173440000042,155.12881820001348,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
74,0,74,0,,,,,,,,,,,,,,,,,,,155.42158790001122,156.72951950000424,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
75,0,75,0,,,,,,,,,,,,,,,,,,,157.02138900000136,158.32838670001365,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
76,0,76,0,,,,,,,,,,,,,,,,,,,158.62119340000208,159.92983750000712,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
77,0,77,0,,,,,,,,,,,,,,,,,,,160.22106050000002,161.52715680000256,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
78,0,78,0,,,,,,,,,,,,,,,,,,,161.82078740000725,163.12745720001112,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
79,0,79,0,,,,,,,,,,,,,,,,,,,163.42067900000256,164.72851620000438,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
80,0,80,0,,,,,,,,,,,,,,,,,,,165.02050990000134,166.3278302000108,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
81,0,81,0,,,,,,,,,,,,,,,,,,,166.62658570001076,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
82,0,82,0,,,,,,,,,,,,,,,,,,,168.226236100003,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
83,0,83,0,,,,,,,,,,,,,,,,,,,169.82607190001,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
84,0,84,0,,,,,,,,,,,,,,,,,,,171.42598860000726,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
85,0,85,0,,,,,,,,,,,,,,,,,,,173.02596150001045,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
86,0,86,0,,,,,,,,,,,,,,,,,,,174.62627210000937,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
87,0,87,0,,,,,,,,,,,,,,,,,,,176.22536980001314,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
88,0,88,0,,,,,,,,,,,,,,,,,,,177.8255349000101,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
89,0,89,0,,,,,,,,,,,,,,,,,,,179.42595590000565,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
90,0,90,0,,,,,,,,,,,,,,,,,,,181.02607400000852,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
91,0,91,0,,,,,,,,,,,,,,,,,,,182.62653630001296,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
92,0,92,0,,,,,,,,,,,,,,,,,,,184.2252443000034,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
93,0,93,0,,,,,,,,,,,,,,,,,,,185.8251636000059,187.13157120000687,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
94,0,94,0,,,,,,,,,,,,,,,,,,,187.42514950000623,188.73035730000993,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
